Content,Date,Title
核大国ロシアの独裁体制が破綻（はたん）や崩壊と紙一重という恐るべき実態が浮き彫りになった。ロシアは違法なウクライナ侵略をただちにやめ、法治がまっとうに機能するよう国内統治を立て直すべきだ。プーチン大統領の責任も問われる必要がある。軍事会社ワグネルを率いるプリゴジン氏の反乱は、１日足らずで収束した。それでもワグネル部隊はモスクワから約２００キロまで迫ったとされる。正規軍の航空機を撃墜し、複数の死者も出た。首都の安全が雇い兵の集団にたやすく脅かされる深刻な事態である。軍上層部に協力者がいた疑いも出ている。プーチン氏は事態収束後、ワグネルに巨額の国家予算が投じられていた事実を初めて明らかにした。中東やアフリカなどで正規軍が担えない工作に従事させるために、非合法な軍事組織を旧知の実業家に創設させたうえで全権を委ねるという、法治国家にあるまじき自身の手法の失敗を認めたに等しい。治安機関は、プリゴジン氏の反乱に対する捜査を終結した。ワグネル戦闘員についてもプーチン氏は罰するどころか、隣国ベラルーシに逃れることを認める考えを示した。ルカシェンコ大統領も受け入れる姿勢だ。侵略に協力してきたベラルーシにワグネル部隊を温存し、ウクライナを牽制（けんせい）する狙いもうかがえる。周辺国に警戒が広がるのは当然だ。投降を説得したとされるルカシェンコ氏からも見過ごせない発言が飛び出した。プーチン氏がベラルーシへの配備を表明した戦術核について「我々の兵器であり、（必要があれば）我々が使用する」と述べたのだ。プーチン氏はベラルーシに核の運用を委ねない考えを示していた。それを正面から否定したルカシェンコ氏の発言は、プーチン氏の権威への挑戦だ。実際にルカシェンコ氏が核のボタンを握れるかは疑問だ。ただプーチン氏に恩を売ったことで、こうした発言も容認されると足元を見たのだろう。一連の経緯は、プーチン氏が盤石の支配体制を敷いたかに見えるロシアが、実は内政でも対外関係でも深刻な統治不全に陥っている現実を示している。あたかも法の上に君臨しているかのように指導者の一存で重大犯罪がうやむやにされ、一方で自国の核を誰が統制しているのかすらはっきりしないようでは、まともな国家の体をなしているとは到底いえない。核大国のロシアが制御不能な混乱に陥れば、危機は世界規模に及ぶ。関係国は立場の違いを超えて、戦争をただちに中止するようプーチン氏への働きかけを強める必要がある。,2023-06-30T20:00:00.000Z,ロシアの混乱　核大国のもろさ示した
活動火山対策特別措置法（活火山法）が改正され、火山調査研究推進本部（火山本部）が来春、発足する。大きな火山災害はひとたび起きれば被害の範囲は広く、社会や経済活動にも影響する。平時から、調査や観測体制を整え、支える専門家を持続的に育成する必要がある。日本には１１１の活火山があり、御嶽山、雲仙・普賢岳などで災害が繰り返されてきた。長い目で見れば、富士山の宝永噴火のような大規模噴火や、さらに大きな噴火も必ず起きる。火山の調査研究や観測は、大学が担う部分が大きいが、国立大学の法人化で資金や人員確保が厳しくなって限界が指摘され、自治体や研究者から強化を求める声があがっていた。地震に関しては、阪神・淡路大震災後に地震調査研究推進本部（地震本部）が発足。観測網が整備された。活断層や海溝型地震の調査も進み、想定される地震の規模や発生確率を示した。リスクの示し方や受け止め方に課題はあるが、日本中に活断層があることや、巨大地震が切迫していることを広める役割を果たしてきた。火山本部は、地震本部と同様に文部科学省に置かれ、観測や測量、調査、研究を一元的に進める。総合的な調査観測計画を作り、大学や研究機関、関係省庁の予算などの調整を行う。火山の調査観測は課題が多い。防災対策にも必要な各火山の噴火履歴については長年、個々の学者が調べてきたが、解明が十分とは言えない。近年、調査が進んだ富士山では新しい火口などが見つかり、ハザードマップに役立てられた。主要な火山から調査を進めるべきだ。火山に関しては、気象庁の火山噴火予知連絡会の改革も進められている。日常的な活動評価を気象庁が担い、非常時は予知連の専門家の知見を集めて対応する方向だ。そこでも必要なデータ収集や研究成果を充実させる体制を、火山本部が整えるかたちになる。火山本部と予知連が連携し、役割分担と効率的な運用を進めてほしい。かつては大きな噴火があると、全国の火山学者が現地に行き、防災に協力してきたが、大学を取り巻く環境が変わり、同様の体制は難しい。異変時に機動的に調査観測を強化できる仕組みも必要だ。火山に目を行き届かせるには研究者の数が少ないと指摘されてきた。改正法で、国と自治体は人材の育成や継続的な確保に努めるとされた。防災や研究を支える専門家を育て、活躍できる場を作るのも大切だ。しばらくの間、目立った噴火がなくとも気を緩めず、備えにつなげる体制を整えなければならない。,2023-06-30T20:00:00.000Z,火山本部　噴火に備え体制強化を
今なお残る差別や偏見を、確実になくす。そう強く促す司法判断が示された。全国の被差別部落の地名リストを川崎市の出版社が販売しようとし、ネットに公開した問題で、東京高裁が出版禁止とサイトからの削除、賠償を経営者らに命じた。一審の東京地裁判決から救済の対象を広げた。被告の出版社は２０１６年、約５３００の被差別部落の地名、世帯数などを一覧にした戦前の報告書「全国部落調査」の復刻出版を告知し、ウェブサイトに地名リストを掲載した。東京法務局は人権侵犯事件として掲載中止を経営者に説示し、裁判所が出版禁止とネットからの削除を命じる仮処分を決定したが、同様の情報がみられるサイトがつくられ、地名を見ることができる状態が続いた。おとといの高裁判決は、部落差別について「差別される者の人間としての尊厳の否定に等しく、許容できない」とし、偏見、差別意識が依然としてあると指摘した。注目すべきなのは、差別されない権利を、憲法１３条の個人の尊重や１４条の平等原則を根拠に、人格権の一つとして位置づけたことだ。「人は誰しも、不当な差別を受けることなく、人間としての尊厳を保ちつつ平穏な生活を送る人格的な利益を有する」とし、地名リスト公表はこの利益を侵害すると述べた。プライバシー権と名誉権の侵害ととらえた地裁判決から、さらに踏み込んで保護を図った。封建社会の身分制度に起因する差別がいまだ解消されず、人々の人生に大きな影響を与えている実態をとても見過ごせないとの見地に立った判断といえる。救済対象も、地裁はリストにある地域に現在、住所か本籍がある人に限ったが、高裁は親族も含めて住所か本籍が現在あるか過去にあった人に広げた。両親や祖父母にさかのぼって住所・本籍を調べる行為もあることをふまえた。「部落地名総鑑」が就職や結婚の身元調査などに用いられ、社会問題になったのは１９７０年代のことだ。当時は政府が回収・焼却処分する強い姿勢で臨んだが、今はネットが手段に加わって対応が遅れがちだ。部落差別解消推進法が１６年、施行されたが、差別行為をやめさせる手続きが定められたわけではない。ネットで地名やその地域の写真や動画をさらす行為は別のサイトへの転載など被害が拡大しやすい。新しく目にした人たちによる差別を助長、誘発することにもなる。人権侵害の救済に臨む政府、自治体、プロバイダー側は、今回の判決をふまえ、実効性ある対応を講じるべきだ。,2023-06-29T20:00:00.000Z,部落地名裁判　ネットの被害の根絶を
各地で天候の不順や急変が相次ぐ。梅雨のこの時期は、豪雨がもたらす災害が毎年のように生じている。警戒と備えが欠かせない。災害時の避難のあり方は、コロナ禍もあって、大きく変わってきた。「密」を避けるため、在宅避難や車中泊、宿泊施設の利用など「避難所外避難」も呼びかけられるようになった。被災者が分散する分、支援を確実に届けるには、要請を待つだけでなく、個々の状況を的確に把握する必要がある。「訪問型」と言われる取り組みが求められるゆえんだ。まもなく５年になる西日本豪雨の被災地の一つ、岡山市では、ＮＰＯ法人の岡山ＮＰＯセンターなどが在宅避難者支援のための研修を重ねている。きっかけは、発災直後に市の委託で行った被災者訪問調査だ。千五百余の世帯を訪ねたところ、２割近くで手助けが必要だと判明。罹災（りさい）証明書を自力で申請できない、各種の補助や免除に関する情報が周知されていないといった実態がわかった。訪問調査のカギとなる人手の確保では、被災住宅で泥かきや片付けをするボランティアに協力を仰ぐ仕組みを視野に入れる。ボランティアセンターの設置・運営を担う社会福祉協議会や市などと定期協議を重ね、新たな災害への備えを急ぐ。５年前に多くの高齢者が自宅で亡くなった岡山県倉敷市真備町では、福祉施設を運営する地元企業が被災した２階建てアパートを借り受け、「避難機能付き住宅」に改修した。２階の一室を避難場所とし、１階の入居者や近隣の住民が緊急時に身を寄せられるよう、戸外に２階へのスロープを新設した。この部屋は普段から開放し、お茶会や体操の場にしている。「お年寄りらが遠方の避難所に行くのは大変。顔見知りになれば、誰かが声をかけてくれる」と、社長の津田由起子さん。支援が必要な人との接点が自然に生まれるようにする試みだ。訪問支援の役割は避難時やその直後に限らない。官民が連携し、被災者の個々の事情に即して生活再建を支える「災害ケースマネジメント」を実施するうえでも重要だ。東日本大震災後の仙台市など、自治体による取り組みの広がりを受け、政府は５月末の中央防災会議で、この仕組みの整備を初めて防災基本計画に盛り込んだ。被災地での実践を参考に、後押しの具体策を考えたい。市民団体や学者らでつくる「３・１１から未来の災害復興制度を提案する会」は、災害対策基本法など関連法制の改正や財政支援を訴えている。政府と国会は議論を急いでほしい。,2023-06-29T20:00:00.000Z,被災者の支援　「訪問型」強化のために
香港の市民から多くの権利を奪った「香港国家安全維持法」（国安法）が施行され、あすで３年になる。世界はこの間、自由社会が窒息させられる過程を見せつけられてきた。今なお進行する人権状況の退行を、見過ごすことはできない。政府を批判したり、政治参加を求めたり、民主社会ではごく当たり前の営みが、かつての香港では行われてきた。国安法のもとでは、それらに国家分裂や政権転覆などの罪名が着せられる。中国政府の出先機関が捜査に関わり、司法の独立を脅かす。香港が英国から返還された１９９７年以降「５０年は基本制度を変えず、高度な自治を実施する」とした国際社会への約束に背く法律であることも、忘れるわけにはいかない。国家の安全にかかわるとして逮捕された者はこの３年で２５０人を超えた。多くの市民団体が解散を強いられ、リンゴ日報など政府批判を辞さなかったメディアも沈黙させられた。公共図書館からは、民主派として活動してきた識者らの著作が次々に排除されている。毎年恒例だった天安門事件犠牲者の追悼集会も開けなくなった。かつて１０万人以上の市民が集った公園では今年、親中派団体が物産イベントを催した。年内に予定される香港区議選では、直接選挙で選ぶ議員数を前回の５分の１に減らし、政府の委任枠を増やすという。李家超行政長官は「区議会が香港独立派に乗っ取られることを防ぐ」と述べた。自治を担う志を持つ市民に対する、悪質なレッテル貼りというべきだ。徹底的に声を封じれば、まっとうな民主主義を望む市民の意思を無力化できると中国政府は踏んでいるのだろう。亡命中の活動家、羅冠聡（ネイサン・ロー）さんが著書で警告した通りになるのではないかと危惧する。「（権威主義政権が目指すのは）人々を抑圧することではなく、人々をして自らが抑圧されていると意識できなくさせることである」問題は香港だけにとどまらない。日本から香港に戻った留学生が日本滞在中のネット投稿を問題視されて起訴された。香港域外での言動が罪に問われうることが国安法に規定されている。抗議デモを応援していた日本人も最近、香港への入境を拒まれた。次は日本人が捕まるのではないかとの懸念も強まる。香港は中国の内と外をつなぐ窓として、行き交う人、物、情報が世界と中国に繁栄をもたらしてきた。権威主義の悪弊を世界に垂れ流す排出口にしてはならない。ひとごととはせず、日本からも抗議の声を上げ続けていく必要がある。,2023-06-28T20:00:00.000Z,香港国安法３年　見過ごせぬ自由の封殺
政府が今後１０年間の指針となる、初の「宇宙安全保障構想」を今月決定した。昨年末に改定した国家安全保障戦略に基づき、防衛分野での宇宙利用の拡大や、官民が一体となった技術開発の強化などを打ち出した。ロシアによるウクライナ侵略では、民間の衛星サービスまで作戦に利活用されるなど、宇宙空間の安保上の重要性が改めて浮き彫りとなった。また、米国、ロシア、中国、インドは、地上からのミサイルで人工衛星を破壊する実験を行っている。宇宙ゴミと呼ばれる大量の破片をうみ、宇宙ステーションや他の衛星を危険にさらす行為だ。サイバー攻撃などで、衛星の機能を無力化する能力を開発している国もあるとみられている。安全保障に限らず、天気予報や位置の確認、地形の把握など、衛星を通じて得られる情報は、人類の日常生活にとって、今や不可欠といえる。平和で安定的な利用が脅かされる事態は避けねばならない。自衛隊は３年前、宇宙作戦隊を立ち上げ、日本の衛星が宇宙ゴミとぶつからないか、他国から妨害を受けていないか、監視・警戒を始めた。今年１月の日米安全保障協議委員会（２プラス２）では、米国による日本の防衛義務を定めた日米安保条約第５条が、日本の衛星への攻撃にも適用されうることを初めて確認した。ただ、攻撃と判断するには、物体の位置や軌道だけでなく、その能力や込められた意図を的確に把握しなければならない。構想では、衛星への攻撃を監視するため、米国が英国、豪州、カナダと運用している「連合宇宙運用センター」への参加をめざすとした。国際協力にあたっても、宇宙基本法が掲げる「憲法の平和主義の理念」を踏まえた対応を忘れてはならない。構想には、宇宙空間における国際的なルールづくりに日本が主体的に貢献していくことも明記された。宇宙開発の実績と技術的強みを持つ日本が果たせる役割は小さくない。日本は昨年、米国が今後は地上からの衛星破壊実験は行わないと宣言すると、それに同調。議長国を務めた先の広島サミットの首脳声明には、Ｇ７（主要７カ国）として実験は行わず、他国が後に続くように促すことが盛り込まれた。実施しない実験の対象を、どこまで広げられるかも問われる。宇宙分野にはデュアルユースと呼ばれる軍民両用の技術が多い。企業などの事業を国が認可する際には、計画に透明性を持たせ、軍事とは関係ないことを示すことのできる規範づくりも求められる。,2023-06-28T20:00:00.000Z,宇宙安保構想　平和主義の理念踏まえ
昨年に続き、今年の通常国会でも、党首討論が一度も開かれなかった。岸田政権が誕生し、野党第１党の立憲民主党の代表が泉健太氏に代わってから、全く行われていないことになる。岸田首相が安全保障政策や原発政策の「大転換」、異次元の少子化対策などを打ち出すなか、与野党のトップ同士が、国民の前で、大局的な議論を交わす機会に背を向け続けていることは理解に苦しむ。２人とも、この制度を導入した狙いや意義を忘れてしまったのか。党首討論は英国議会をモデルに、国会審議の活性化と政治主導の政策決定をめざして、００年から正式に始まった。最初の年は８回、その後も０６年まで年４～７回開かれた後、徐々に回数が減り、それが常態化したのが第２次安倍政権下であった。森友・加計問題が政権を揺るがした１７年と、コロナ禍に見舞われた２０年はゼロ。それ以外も年１、２回にとどまった。そして、後を継いだ菅首相と当時の立憲の枝野幸男代表らが参加した２１年６月を最後に、丸２年開催されずに今に至る。与党側は、首相の出番を極力減らして、失点を避けたい。野党側も、より長い質疑時間を確保できる、予算委員会での質疑を優先したい。与野党双方の、そんな思惑が指摘されてきた。しかし、予算委では、野党の質問に首相が答える一方通行のやりとりが基本になる。首相に代わって、関係大臣や政府参考人が答弁することもできる。党首討論では、政治家同士、双方向の一対一の真剣勝負が求められる。それが嫌だというなら、政治指導者としての器を疑われても仕方あるまい。もちろん、現在の仕組みに課題があることは事実だ。全体で４５分間という枠があるため、複数の野党党首で割り振ると、立憲以外の各党は５分ずつといった細切れになってしまう。ただ、時間を延ばしたり、開催頻度を増やしたりするなかで、各党に十分な時間が行き渡るよう工夫することは可能なはずだ。首相が本会議や委員会に出席する週には開かないという、与野党の当初の申し合わせはあるが、１４年には、弾力的な運用で月１回の実施をめざすことで一致したではないか。超党派の国会議員が、さらに頻繁な開催と、多くの人が視聴しやすい夜間の実施を求めた１８年の提言もたなざらしのままだ。定例化に向けた再出発の第一歩として、ひとつ提案がある。次の臨時国会では、首相の所信表明演説と各党の代表質問が一巡した後、予算委員会の質疑に入る前に、長めの時間をとって、まず党首討論から始めてみてはどうだろう。,2023-06-27T20:00:00.000Z,党首討論ゼロ　政治家の器が問われる
来月、日本で二つの科学オリンピックが開かれる。世界に挑む若者を応援したい。草分けの数学が１９５９年に始まり、日本は９０年に初参加した。いまや日本科学オリンピック委員会には、数学、化学、生物学、物理、情報、地学、地理の７科目が加わる。哲学や言語学などの国際大会もある。２０２２年の７科目の予選参加者は計１万８千人を超えた。予選は試験やリポート審査などの１次選考、全国大会でもある２次選考での試験や実技で数人の代表が決まり、強化合宿などを経て、国際大会に臨む。今年は、国際数学オリンピックが千葉県で、日本で初開催となる国際物理オリンピックが東京都で、７月に開かれる。ポーランドでの国際天文学・天体物理学オリンピック、ギリシャでの国際経済オリンピックには、日本から初出場となる。金銀銅メダルは、上位から一定の割合で全体の半数ほどに贈られる。日本の出場者のほとんどが獲得している。中には予想しなかった解き方で出題者を驚かす生徒もいる。近年は、中国や韓国などアジアの活躍が目立つという。国内のトレーニングに力を入れている国もある。国際大会では、宿舎で議論したり、開催国の伝統文化に触れたり、観光やスポーツ、ゲームなどで交流を深める。予選も含めた大会の意義は、授業や受験勉強にとどまらず、興味ある教科を存分に学び、夢中になって探究すること。選考や合宿、大会で仲間と出会って刺激し合い、視野が広がり、やがて留学や国際共同研究にもつながる。突出した若者の力が伸びれば波及効果もある。世界に目を向ければ、既成の枠にとらわれない若い才能が、技術革新や巨大ビジネスにつながる発想を生み出し、社会にも貢献してきた。日本代表は、出場経験を蓄積した都市部の進学校が多いが、地方や公立高校からも選ばれるようになってきた。情報がネットで得られ、交流が広がったことが背景のようだ。予選参加者のうち、女性は、生物学で半数を超え、地学や化学、地理では３割前後だ。地域や学校、性差を問わず、挑戦したい高校生が参加できる環境を整えることが大切だ。選抜や大会運営には国の補助や企業の寄付もあるが、高校や大学の先生、学生らのボランティアにも頼る。自治体や学校の熱心さには濃淡もある。国や企業は支援を拡大してほしい。スポーツのように観戦することは単純にはできないが、もっと社会の関心を高める工夫も必要だ。どの分野でも、世界を目指す高校生の存在は、同世代への刺激にもなるはずだ。,2023-06-27T20:00:00.000Z,科学五輪　世界に挑む若者支援を
今後５年間の教育政策の「羅針盤」となる第４期教育振興基本計画が、閣議決定された。教育振興基本計画は、０６年の教育基本法改正を受け、政府が５年ごとに作り、政策の大きな方向性を示すものだ。自治体が地域の実情に応じて基本計画を作る際に参照され、学校などでの実践につながっていく。これまでの計画は「社会を生き抜く力」や「一人一人の可能性とチャンスの最大化」などをめざした。今回は「持続可能な社会の創り手の育成」とともに「日本社会に根差したウェルビーイングの向上」を掲げた。ウェルビーイングは最近はやりのカタカナ言葉で、「心身の健康と幸福」などと訳される。だが、多義的な概念で日本では十分浸透していない。言葉の元の意味をたどれば「善き生」となる。短期的、物質的な幸福感だけではなく真の豊かさをめざすためには何が大事なのか。文部科学省には、学校や自治体、子どもや保護者らに明確で丁寧な説明を行うとともに、計画を作る際と同様、現場との対話を重視することが求められる。欧米では、個人が能力を獲得できた時に幸福を感じる傾向が強いとされる。これに加えて学校や地域でのつながりも重視する日本流にアレンジし、教育を通じて協働性や利他性を育むことを重視するのだという。「友達関係に満足している子」「先生は自分のいいところを認めてくれると思う子」の増加や、自殺する子の減少などをめざす。ただ、そうした日本的な協調は同調圧力や排他性という形で問題にもなる。いじめやジェンダー格差の背景にあるとの指摘もある。計画を議論した有識者からも懸念が示され、「同調圧力につながるような組織への帰属を前提とした閉じた協調ではない」との文言が追加された。計画は、目標の実現に向けた基本方針の一つに「誰一人取り残されず、全ての人の可能性を引き出す」教育を据える。貧困や障害など多様で複雑な事情を抱える子ども一人ひとりに、きめ細かく対応すべきだと説く。その一環で、不登校の子に柔軟な教育を展開する「不登校特例校」を、全国に３００校設けることをめざすとした。子どもとじっくりと向き合って問題に早めに気づき、スクールソーシャルワーカーら専門家や子ども食堂などとも情報を交換し、適切なケアを行うことが大切だ。そのためには教員が余裕を持つ必要がある。計画は、慣習にとらわれず学校・教員が担う業務を減らしたり、教員を支援するスタッフを増やしたりして、働き方改革の進展もめざす。閣議決定した以上、政府全体として着実に実施する責任がある。,2023-06-26T20:00:00.000Z,教育基本計画　新目標へ説明と対話を
国会議員の公の活動を支えるため、歳費（給与）とは別に、毎月１００万円が支払われる調査研究広報滞在費（旧文書通信交通滞在費＝旧文通費）。その使途を公開するという約束は、またしても果たされなかった。これでは、国民の政治への信頼は失われるばかりだ。旧文通費の使い道には、具体的な基準がなく、公開の義務もないため、政治家が事実上、自由に使える「第２の財布」と言われてきた。一昨年秋の衆院選の後、与野党で見直し論議が始まったが、これまでに実現したのは、名称の変更と、月ごとの一括支給を在職日数に応じた日割りに改めることだけだ。改革の本丸である使途の公開について、与野党は昨年の通常国会で、会期中に「結論を得る」と合意しながら、空約束に終わった。その後の臨時国会でもたなざらしにされ、今月閉会した今年の通常国会では、協議らしい協議もないまま、あっさり見送りが決まった。与野党は最終日に、衆参両院の常任・特別委員長らに対し、国会開会中は土日も含め１日６千円を支給している手当を廃止する改正歳費法を、全会一致で成立させた。日本維新の会などが主張していたもので、年間５千万円の予算削減となるが、旧文通費の透明化を放置していい理由にはならない。立憲民主、維新、国民民主の３党は昨年の臨時国会に、使途公開と未使用分の国庫返納を義務づける歳費法改正案を提出したが、審議すらされていない。一向に話が進まないのは、専ら自民党の消極姿勢に原因がある。高木毅国会対策委員長は「すべての議員にかかわることで、調整が完了するに至らなかった」と述べたが、税金を原資とする資金の使い道を明かせない道理はない。党総裁として指導力を発揮しようともしない岸田首相の責任も重い。野党の本気度にも疑問符をつけざるをえない。今国会でぜひとも実現するという強い覚悟で、自民に厳しく迫った様子はうかがえない。本音では特権を手放したくない、自民を批判し自らの改革姿勢をアピールする材料にしたいといった思惑を、勘ぐられても仕方あるまい。防衛費の大幅増や、異次元の少子化対策などで、国民に負担増を求めることもありうるなか、政治家が自らを律し、約束を果たせないようでは、到底理解など得られまい。「宿題」をこれ以上、ほったらかしにすることは許されない。国会閉会中であっても、与野党で協議を続け、次の臨時国会では必ず透明化をかなえるよう、強く求める。,2023-06-26T20:00:00.000Z,旧文通費の使途　いつまで公開拒むのか
