Content,Date,Title
人手不足が続き、パート労働者にもっと働いてほしいという企業は増えている。税や社会保険制度が主婦らの就労を妨げることがないよう、対策を講じるべきだ。政府が、パート労働者の「年収の壁」への対応を検討している。賃上げに取り組んだ企業への助成金など、「支援強化パッケージ」を今秋にもまとめる方針だ。年収の壁は、パートの収入が一定額に達すると、税や社会保険料の負担が生じる問題だ。会社員の夫に扶養されている妻の場合、年収が１３０万円（１０１人以上の企業は１０６万円）になると、自ら厚生年金や健康保険に加入せねばならず、保険料負担で手取り額が減ってしまう。このため、パート収入が基準を超えないように、働く時間を減らす慣行が長く続いている。特に、近年は最低賃金の引き上げでパートの時給が上昇しているため、主婦らが労働時間を減らす傾向が一層、強まっている。経済界からは「主婦らに長い時間、働いてもらえる環境を整えてほしい」という声が出ていた。現状を改善するため、政府は、社会保険適用で手取りが減らないよう賃上げに取り組んだ企業に、従業員１人あたり最大約５０万円を助成する方針だ。以前からある雇用保険の助成金を拡充する。賃上げの原資や、事業主が半分を拠出する社会保険料に充ててもらう狙いがある。企業が助成金を活用し、希望する人がもっと働けるようになることが望ましい。ただ、助成金制度は、人手不足を補うための当面の措置としては有効かもしれないが、根本的な解決策とは言えまい。助成金が終了したら元の働き方に戻る、ということにもなりかねない。厚生労働省の審議会では、主婦らが「年収の壁」を意識せずに働けるよう、パートの厚生年金保険料を一定程度、軽減する案が浮上している。２０２５年の年金制度改革に向けて、効果的な対策を議論してもらいたい。年収の壁を巡っては、「働き損になる」と誤解している人も少なくない。保険料を負担することで目先の手取りは多少減るとしても、厚生年金に加入することで、老後の年金額は加算される。男女ともに平均寿命が延びるなか、老後の生活を支える公的年金の重要性は、より増している。政府は、パートにかかわる年金制度の仕組みをわかりやすく説明し、厚生年金への加入を後押ししていくことが大切だ。,2023/07/09,パート年収の壁小手先の対策で終わらせるな
反対勢力を排除して行う選挙に正当性があるとは言いがたい。フン・セン政権は、後退する民主化への日米欧の懸念を受け止め、野党弾圧をやめなければならない。カンボジアで２３日に行われる総選挙は、与党・人民党の圧勝が確実な情勢となっている。政権の影響下にある選挙管理委員会が、有力野党・キャンドルライト党の選挙参加を認めなかったからだ。政党登録の書類の一部が原本ではなくコピーだったことが理由という。結論ありきだったのではないか、との疑念は拭えない。有力野党が不在のままでの総選挙は２回連続だ。政権は２０１８年の前回選挙に際し、当時の有力野党・救国党の党首を国家反逆容疑で摘発し、解党に追い込んだ。露骨な野党潰しの結果、人民党は１２５議席すべてを独占した。救国党の流れをくむキャンドルライト党は、総選挙の前哨戦となった昨年６月の地方選で、人民党の得票率７４％に次ぐ２２％を獲得した。今回の総選挙でどこまで躍進するかが焦点だった。総選挙には、４０年近く首相の座にあるフン・セン氏が後継指名した長男のフン・マネット陸軍司令官も立候補している。人民党も長男を次期首相候補に決めた。野党排除は、親子間の権力禅譲に対する異論を封じる狙いもあろう。フン・セン氏は権力を私物化していると言わざるを得ない。カンボジアは、２０年以上に及ぶ内戦で数百万人の犠牲者を出した後、１９９０年代から国連や日米欧の支援を受け、復興と民主化を進めてきた。現在の、民主主義が形骸化した状況は、国際社会の期待を大きく裏切るものだ。フン・セン氏の強権統治は事実上、中国が支えている。中国の巨額の投資と援助が経済発展をもたらし、これが長期政権の正当性の根拠となってきた。野党排除について、米国務省は「多党制による民主主義国家として発展するという国際的な約束を損なう」と批判し、仏独なども同様の声明を出した。一方、日本は「懸念を持って情勢の推移を注視している」との立場だ。９０年代のカンボジア和平に深く関与した日本は、欧米の強硬路線とは一線を画し、フン・セン政権と良好な関係を維持してきた。だが、眼前で起きている反対勢力への弾圧を看過するわけにはいかない。日本はかつての最大の支援国として、「懸念」表明にとどまらず、政権を自制に導く強いメッセージを出す必要がある。,2023/07/09,カンボジア選挙看過できぬ民主主義の形骸化
安倍晋三・元首相が銃撃されて死亡してから１年となった。事件が浮き彫りにした教訓や課題は重い。一つずつ克服し、安全な社会を目指していかねばならない。安倍氏は昨年７月８日、奈良市の街頭で選挙演説中に、手製の銃で撃たれて命を落とした。事件後、政府要人の演説については、都道府県警の警護計画を警察庁が事前にチェックする仕組みが導入された。だが、今年４月には和歌山市で岸田首相に爆発物が投げつけられる事件が起きた。両事件とも、凶器を自作した人物が１人で犯行に及ぶ「ローン・オフェンダー（単独の攻撃者）」型の犯罪だった。岸田首相の事件の容疑者は、安倍氏の事件を意識していたとみられている。ＳＮＳを中心に、重大事件を起こした人物に過度に同情したり、英雄視したりする風潮がみられる。こうした傾向が暴力の連鎖を生む一因になっていないか。いかなる理由でも暴力は許されないという認識を社会で共有し、対策を強化せねばならない。銃や爆発物の製造方法がインターネットに掲載され、誰でも見られる時代だ。ＡＩ（人工知能）で危険な情報を探知し、削除する取り組みを進める必要がある。選挙演説などでは、ドローンで上空から監視することも有効だろう。安倍氏の事件を機に、世界平和統一家庭連合（旧統一教会）の信者が多額の寄付を繰り返し、家族が困窮している実態が明らかになった。文化庁は解散命令請求を視野に入れて調査を続けている。組織性や悪質性を見極め、しっかりと結論を出してほしい。自民党内の力学も変化した。安倍派ではベテラン議員がけん制し合い、安倍氏の後継会長を決められずにいる。これでは１００人超の最大派閥とはいえ、政策や人事で影響力を行使できまい。保守の代表格だった安倍氏の言動は、リベラルの多い宏池会出身の岸田首相に緊張感を与えていた面もある。その「重し」がなくなったこともあってか、首相の政権運営が強引な印象を与え、支持率低下を招いているのは残念だ。健康保険証を廃止し、マイナンバーカードに一本化する施策は大きな混乱を招いている。それでも政府は、保険証を２０２４年秋に廃止する方針にこだわり、国民の不安を拡大させている。内外の諸課題に適切に対処するためには、政局の安定が何よりも重要だ。首相は丁寧な政権運営を心がける必要がある。,2023/07/08,安倍氏銃撃１年教訓を生かして安全な社会に
日本で暮らす外国人の言葉の壁を取り払う上で日本語教育の重要性は増している。学校と教師の質の向上を図るための新制度を定着させたい。日本に住む外国人は、昨年末時点で約３０７万人となり、初めて３００万人を超えた。今後も増加傾向が続く見通しだ。地域の働き手となることも期待される。外国人が地域や職場で孤立することなく暮らすには、一定の日本語能力が不可欠だ。しかし、教育体制や質は十分とは言えない。日本語学校や、大学、自治体による日本語教室などは２０２１年時点で全国に約２５００か所あり、生徒数は約１２万人に及ぶ。留学生が学ぶ日本語学校は、かねて教育水準のばらつきが指摘されてきた。一部には、授業料目当てで定員を大きく上回る学生を受け入れたり、不法就労を黙認したりする悪質な学校もある。これでは、学生が日本語能力を身につけることが困難で、学習意欲を失いかねない。真摯（しんし）に日本語教育に取り組んでいる学校や教師の信頼にも関わる問題だ。通常国会で成立した日本語教育機関認定法は、日本語学校と教師の質の向上を目的としている。教育課程や施設など一定の基準を満たした学校について、文部科学相が「適正な教育機関」と認定する。情報はインターネット上で広く公表し、留学生の受け入れは認定取得が条件となる。国家資格「登録日本語教員」も創設される。筆記試験に合格し、教育実習を修了することが条件だ。この資格がなければ、認定校で教えられない。教師の処遇改善や社会的地位の向上を通じて、人材確保につなげる狙いがある。文科省への定期報告を義務づけ、問題がある学校には勧告や是正命令も行える。新制度では、９００以上の日本語学校や大学などが認定を求める見通しだ。悪質な学校を排除し、留学生が良質な教育を受けられるようにする一歩としたい。認定校を卒業したことが就職や進学で評価されるようになれば、新制度は定着していくだろう。日本語教師の年収は、６割が４００万円未満だ。非常勤の給与はさらに少ない。地方では、ボランティアが中心となって教えているという。このため、大学などで日本語教師の養成課程を修了しても別の道に進む人が多い。教師の給与を上げるため、国や自治体の補助金創設や、外国人が働く企業が支援する枠組みを作ることも検討してはどうか。,2023/07/08,日本語教育新制度で質を向上させたい
分からないことは、すぐＡＩ（人工知能）に聞き、その答えを鵜呑（うの）みにする。そうした安易な使い方が子どもたちに広がらぬよう、学校は慎重に対応する必要がある。「チャットＧＰＴ」などの生成ＡＩを学校現場でどう取り扱うかについて、文部科学省が小中高校向けの指針を公表した。生成ＡＩには、個人情報の流出や著作権侵害、偽情報の拡散などのリスクがあり、思考力や学習意欲への影響も懸念されると指摘した。そのうえで、学校では「限定的な利用から始めることが適切だ」との見解を示した。特に、情報活用能力が十分ではない小学生に使わせることには慎重な姿勢を求めた。まずはリスクに対応できる一部の学校で試行的に取り組むべきだとしている。生成ＡＩは、使い方次第で新しい価値の創造につながるのだろうが、現段階で子どもに使わせるには問題が多すぎる。指針は、学校現場での性急な利用に注意を促すもので、子どもの発達段階を踏まえた妥当な内容だと言える。指針は、活用例として「英会話の相手として使う」といったケースを挙げる一方、「生成ＡＩで作ったリポートを自分のものとして提出する」などを不適切な例として示した。夏休みを控え、宿題を出す際の参考になるだろう。課題は「教師力」の向上だ。情報技術分野は、専門性が高く、指導に不安を覚える教員が多い。ＡＩの利点や課題、著作権侵害に当たる事例などの知見を高めねばならない。各教育委員会は研修の充実に取り組んでほしい。学校現場ではすでに、英作文の宿題を出したところ、チャットＧＰＴの回答を丸写しして提出するような生徒も出始めている。一般に高校生の場合、学習の成果や作文コンクールの受賞歴などが、大学の総合型選抜（旧ＡＯ入試）や学校推薦型選抜に使われ、合否を左右する。不正をどのように見抜くのかは難しい課題だ。評価や入試への活用を巡っては提出物を確認するだけではなく、発表や面接を通じて、本人の理解度を丁寧に測る必要がある。教育の目的は「人格の形成」にある。自分で考え、自由に行動し、その結果に責任を持つ。それが自律的な人間だ。思考を放棄し、ＡＩの言う通りに行動して失敗したら、責任は誰が負うのか。ＡＩはあくまで道具であり、万能ではない。「最後は自分で考え、判断する」という原則を、まずは子どもたちに学ばせたい。,2023/07/07,学校のＡＩ利用自分で考える力を失わぬよう
国際競争力を高めるため、政府系ファンドによる買収を通じて、半導体材料の業界再編を促すという。日本の得意分野をさらに磨く効果的な戦略を練ってもらいたい。経済産業省が所管する官民ファンドの産業革新投資機構（ＪＩＣ）が、半導体材料大手のＪＳＲを買収すると発表した。買収総額は約９０００億円になる見通しだ。株式公開買い付け（ＴＯＢ）を行った上で完全子会社化し、いったん上場廃止にする。再編による規模拡大や研究開発の効率化などで企業価値を上げ、５～７年後に再上場させる方針だという。日本は、半導体の製造では台湾や韓国などに後れを取っているが、半導体材料には強みがある。この分野をてこ入れし、半導体のサプライチェーン（供給網）を強化することは重要だ。ＪＳＲは、半導体基板に塗布するフォトレジスト（感光剤）で約３割の世界シェア（占有率）を持つ。微細な回路を焼き付けるのに欠かせない素材だが、市場は半導体産業全体からみれば小さい。ＪＳＲの企業規模も大きくない。フォトレジスト製造は、ＪＳＲ以外にも国内に有力企業がひしめき、日本が高いシェアを誇る。ただ、回路の線幅が細かい最先端半導体の開発に伴い、フォトレジストでも世界の開発競争が加速している。多額の投資に対応するため、再編で企業規模を拡大することは有力な選択肢となろう。ＪＳＲは、政府系ファンドの後ろ盾を得るとともに、非上場化することで、多くの株主の声を気にすることなく、機動的に経営判断ができるようになる。フォトレジスト以外の材料分野も合わせ、有効な再編策を検討してほしい。政府は、半導体を経済安全保障上の重要物資と位置付けて、産業基盤の強化に取り組んでいる。世界的な半導体メーカーである台湾積体電路製造（ＴＳＭＣ）の工場を熊本県内に誘致したほか、政府主導で次世代半導体の新会社「ラピダス」も設立した。今回の買収によって材料分野もさらに強くし、先端半導体の製造を含め、半導体産業全体の底上げに生かしていくことが大切だ。一方、国が関与した産業の再編は失敗が多い。大手電機の半導体部門を統合したエルピーダメモリは２０１２年に経営破綻した。従来は、競争力が落ちた分野で企業を救済する例が目立ったが、今回は日本が強みを維持する分野である。それだけに、政府系ファンドの責任は重いと言える。,2023/07/07,半導体材料産業国の関与で競争力は高まるか
健康保険証を廃止する方針について、岸田首相が「不安の払拭（ふっしょく）が大前提だ」と言うのはその通りだ。だが、そのために総点検を急がせ、かえって混乱を招いたら元も子もない。政府は冷静に現状を分析し、善後策を講じるべきだ。衆院特別委員会で、マイナンバーカードをテーマに閉会中審査が開かれた。河野デジタル相は様々なトラブルについて謝罪したうえで、「スピード感を持って総点検に取り組む」と述べた。政府はマイナカードのデータについて、今秋までに総点検を行うとしている。岸田首相は、８月末としていた中間報告の時期を、８月上旬に前倒しした。カードを巡るミスが相次いだことで、内閣支持率は下落している。首相としては、国民の信頼回復を急ぎたいのだろう。行政の効率化を進めるうえで、マイナカードは有効な仕組みだ。コロナ禍では、給付金の支給の遅れが指摘された。公金の受取口座を紐（ひも）付けたカードが普及すれば、そうした事態も避けられよう。マイナンバー自体は１２桁の数字だ。同姓同名であっても混乱する余地はない。ただ、それを保険証などと一致させるには、アナログでの手作業が必要となる。保険証とマイナカードを一本化する「マイナ保険証」を含め、カードの活用を広げていくには、自治体や健康保険組合、医療従事者などの協力が不可欠だ。しかし、政府にそうした認識があるのか疑わざるを得ない。自治体は、登録や本人確認など様々な業務を担っている。マイナ保険証のミスは、一部の健康保険組合で本人確認が徹底されていなかったことが原因だ。このうえ、制度の綻びを繕うために現場の点検作業まで急がせることに、一部自治体から早くも反発が出ている。政府は、マイナ保険証と健康保険証の選択制を掲げていたが、河野氏が昨秋、唐突に２０２４年秋に保険証を廃止すると表明し、先の国会で関連法を成立させた。マイナ保険証を持たない人には、健保組合などが「資格確認書」を発行することになる。現場の負担は増すばかりだ。政府は来秋の保険証の廃止にこだわるより、当初の予定通り選択制とし、利便性を実感できる状況を作るほうが得策ではないか。河野氏はマイナカードの名称変更に言及し、政府は火消しに追われた。混乱を助長するような発言は慎まねばならない。,2023/07/06,マイナカード不安払拭を円滑に進めるには
日本列島では近年、梅雨の後半にあたる７月上旬に豪雨災害が発生するケースが増えている。行政や地域、住民がそれぞれ警戒を強め、命を守るための備えを徹底したい。今年もすでに、九州を中心に記録的な大雨に見舞われている。土砂崩れや河川の氾濫が相次ぎ、死者も出ている。短時間に激しい雨をもたらす「線状降水帯」が発生したのが原因だ。６日以降も各地で雨が降りやすい状況が続くとみられている。これまでの降雨で、地盤が緩んでいる地域もある。土砂崩れなどには十分注意してもらいたい。広島、岡山、愛媛の３県を中心に３０５人が亡くなった西日本豪雨から５年になる。熊本県を流れる球磨川の氾濫などで大きな被害が出た九州豪雨も、３年前のこの時期に起きている。どちらも線状降水帯が発生していた。梅雨の後半には、太平洋高気圧の影響で前線が日本付近に停滞することが多くなる。大気が不安定になり、積乱雲が発達して線状降水帯が生じやすい。地球温暖化の影響も指摘されている。気象庁は昨年から、線状降水帯の予報を半日前に出している。今年５月には、発生情報を従来より早めて発表する運用も始めた。実際には線状降水帯が発生せず、空振りとなる予報もあるが、予報や発生情報が出たら、危険が迫っていると認識してほしい。スマートフォンなどで現時点の危険度を災害別に確認できる気象庁のサービス「キキクル（危険度分布）」なども活用したい。高齢者や障害者、子どもらが激しい雨の中で避難するのは難しい。家族構成や自宅周辺の環境などを踏まえ、どのような状況になったら、どこに避難するのかを事前に決めておくことが重要だ。避難時の行動を時系列に書き出しておく「マイ・タイムライン」の作成も有効だろう。避難の際、車を使う人が多い。ただ、冠水した道路は浅く見えても車が流される危険性がある。過去には亡くなった人もいる。慣れた場所でも、川沿いや低地には近づかないことが大切だ。西日本豪雨で多くの犠牲を出した岡山県倉敷市の一部では今、避難する人が黄色いタスキを玄関先に結び、避難が完了したことを周囲に知らせる取り組みが進んでいる。タスキがない家には、声をかけて逃げるよう促すという。激甚化する豪雨被害を最小限に食い止めるには、地域で力を合わせることも欠かせない。,2023/07/06,豪雨災害７月は厳重な警戒が不可欠だ
ロシアがウクライナへの侵略を続ける中で、多くの子供の生命と未来が奪われているのは、到底看過できない。ロシアは子供への残虐行為を即座に中止すべきである。国連の報告書が、ロシアによるウクライナの子供の殺害、拷問を確認した。これに基づき、グテレス国連事務総長はロシアを「子供の人権侵害国」に指定した。世界の平和に責任を負う国連安全保障理事会常任理事国が「侵害国」に指定されたのは初めてだ。恥ずべき事態というほかない。報告書によると、ロシア軍は昨年、ウクライナで子供１３６人を殺害し、５１８人を負傷させた。少女への性的暴行もあった。ウクライナからの攻撃を防ぐために、ロシアがウクライナ人の子供を「人間の盾」として使った事例もあったという。実際の被害は、国連が認定したケースよりも桁違いに多いに違いない。戦地での文民保護は国際法に明記されている。中でも、自分を守ったり、逃げたりすることが困難な子供の保護は最優先されるべきだ。住宅地や学校などを無差別に攻撃するロシアの戦術は、これに真っ向から反している。露軍が占領した地域では、ウクライナ人の子供をロシアに強制的に移送する行為も横行している。ウクライナ政府によると、２万人近くが連れ去られた。その多くは、今もロシア国内にいる。民間活動団体（ＮＧＯ）が救出してウクライナに戻ることができた子供たちの証言によると、ロシアではウクライナ語の使用を禁じられ、ロシア国歌やロシアの歴史、文化を教え込まれたという。連れ去られた後、ロシア人の家庭に養子縁組された子供も少なくない。「ロシア人」化教育は、子供の将来に重大な影響を与える人権侵害である。プーチン露大統領は国策としてウクライナの子供へのロシア国籍付与や養子縁組を奨励してきた。ロシアの人口を増やし、ウクライナを属国化する狙いは明白だ。戦争犯罪を裁く国際刑事裁判所（ＩＣＣ）は、プーチン政権の一連の措置を戦争犯罪とみて、プーチン氏に逮捕状を出している。ロシアも加入している「子どもの権利条約」は、国籍の尊重や国外移送の防止をうたっている。ロシアは、「ウクライナの子供の安全を守るために保護した」と主張しているが、それなら侵略をやめればいいだけのことだ。直ちに攻撃を停止し、子供たちを帰還させねばならない。,2023/07/05,ロシアの侵略子供の生命と未来を奪うな
遺伝情報（ゲノム）を使った医療の進歩が目覚ましい。ゲノム医療を適切に活用するにはルールづくりが欠かせない。ゲノム医療は、遺伝情報を病気の治療に活用しようというものだ。ゲノムを解析することで、病気の原因を特定したり、治療薬の開発につなげたりすることが期待されている。こうした医療を推進するためのゲノム医療法が成立した。個人の体の特性や病状に応じた医療の実現に向けて、研究開発を進めることを目的としている。政府が基本計画を策定し、必要な財政措置を講じることも求めている。近年、ゲノム医療は世界的に重要な研究テーマとなり、各国が力を注いでいる。日本も研究に取り組んでいるが、法整備は遅れていた。これを機に、希望者が安心してゲノム医療を受けられるよう仕組みを整えてもらいたい。特に進展が期待されるのが、がん治療だ。一部のがんでは、原因となる遺伝子変異を調べ、効きやすい薬を選ぶ治療が実現した。こうした方法が広がれば、効かない抗がん剤を使って副作用に苦しむことも避けられるはずだ。将来的にがんなどの病気にかかりやすいかどうかを調べ、定期的に検査を受けて予防に役立てることも考えられる。ただ、病気に関する遺伝情報が第三者に伝わると、差別につながりかねない。遺伝的にがんになりやすいといった情報が漏れ、結婚や就職、保険の加入などで不利益を被ることが懸念されている。ゲノム医療法には、遺伝情報の保護と不当な差別の防止が明記された。だが、罰則はなく、実効性に課題を残している。今後、どのようなケースが差別に当たるのか、実際に差別があった場合にはどう対応すべきなのか、具体的な考え方や対処方法の検討を急ぐ必要がある。遺伝の問題は、本人だけでなく、家族にもかかわる。遺伝情報を検査して病気のリスクがわかった場合、家族も同様である可能性があるためだ。遺伝情報を扱う医療機関などは、情報の管理に十分注意しなければならない。遺伝に関する正しい知識を社会全体に広めることが重要だ。国や医療関係者は、ゲノム医療への理解が深まるよう努めてほしい。検査を受ける本人や家族を支援するための専門家が不足している。遺伝情報を知って戸惑う人もいる。そうしたケースで、相談に応じるカウンセラーのような人材の育成を急いでもらいたい。,2023/07/05,ゲノム医療安心できるルールあってこそ
